Upstream Regulator,Expr Log Ratio,Molecule Type,Predicted Activation State,Activation z-score,p-value of overlap,Target Molecules in Dataset,Mechanistic Network
TNF, ,cytokine,Activated,2.874,2.43E-16,"ABCC3,ACP5,ADAMTS4,ADAMTS7,ADRB1,ALCAM,ALDH3A1,APOBEC3B,ARHGAP22,BCYRN1,BST2,C5AR1,CAV1,CCN4,CD200,CDH5,CDKN1A,CHI3L1,CLDN4,COLQ,CRISPLD2,CYP1A1,DCN,EDNRB,F11R,FAT2,FOSB,FRZB,GADD45G,GDF15,GHR,H19,HAS3,ICOSLG/LOC102723996,IFIT1,IGF2,INPP5D,IRAK2,ITGAX,KRT18,LIF,LTB4R2,LY96,MAP2K6,MMP16,NOD2,NOS2,NRP1,OAS1,OAS3,PDGFB,PLAAT4,PLAUR,PLK2,PLP1,PPARGC1A,PTGES,PTHLH,SERPINA3,SHBG,SLC43A2,SPP1,SVIL,SYNPO,TBX21,TFAP2C,THBS1,TNFAIP2,TNFRSF10D,TNFRSF1B,TNR,ZNF750",141 (22)
MAPK1,-0.131,kinase, ,-1.482,1.29E-10,"ANTXR2,BST2,CAV1,CDKN1A,DCN,FAT2,FOSB,IFI30,IFIT1,IFIT2,IGSF9B,LIF,NOS2,NRP1,NT5E,OAS1,OAS3,PDGFB,PLXDC1,RPE65,SFRP2,SPP1,TBX21,TNFRSF1B,TRANK1",122 (20)
IFNG, ,cytokine,Activated,3.352,2.88E-10,"ADGRA1,ASCL1,BCYRN1,BST2,C5AR1,CABP7,CAV1,CD200,CDH5,CDKN1A,CNR1,CRABP1,CTSV,DLL1,EDNRB,ELN,F11R,FBLN1,FOSB,GDF15,ICOSLG/LOC102723996,IFI30,IFI44L,IFIT1,IFIT2,IRAK2,ITGAX,LIF,LPAR4,LY96,NOD2,NOS2,OAS1,OAS3,OPN3,PARVG,PDGFB,PLAAT4,PLAUR,PPARGC1A,PTGES,PTHLH,SEMA4A,SLC16A3,SMAGP,SPP1,TBX21,THBS1,TMEM173,TNFAIP2,TNFRSF1B",144 (19)
lipopolysaccharide, ,chemical drug,Activated,3.527,3.03E-10,"ABCC3,ACP5,ALCAM,ALDH3A1,APOBEC3B,APOC1,C5AR1,CAV1,CCN4,CD200,CD8A,CDH5,CDKN1A,CHI3L1,COL9A1,CTSV,CYP1A1,DCN,FOSB,GHR,H19,HES5,ICOSLG/LOC102723996,IFI44L,IFIT1,IFIT2,INPP5D,IRAK2,ITGAX,LIF,LRRK2,LTB4R2,LY96,NOD2,NOS2,NRP1,OAS1,OAS3,PARP10,PDGFB,PERP,PLAAT4,PLAUR,PLK2,PPARGC1A,PTGDS,PTGES,PTHLH,RASSF2,SERPINA3,SLC16A3,SLCO2A1,SPP1,SSTR2,SYNPO,TBX21,TDO2,TENT5C,THBS1,TNFAIP2,TNFRSF1B,VWF",149 (22)
dexamethasone, ,chemical drug, ,0.195,4.84E-10,"ABCC3,ALCAM,AMIGO2,ARX,ATP10B,C5AR1,CA8,CAPS,CAV1,CDKN1A,CHI3L1,CRISPLD2,CTSV,CYP1A1,DCN,DLK1,DLL1,EDNRB,ELN,EPAS1,FBLN1,FOSB,GDF15,GHR,GLIPR1,HPD,ICOSLG/LOC102723996,IFIT1,IFIT2,IGF2,LIF,LRRK2,MAP2K6,NOS2,OAS3,OLIG2,OXTR,PLAAT4,PLAUR,PLK2,PMP2,PPARGC1A,PPL,PRELP,PTGDS,PTGES,PTHLH,RDH5,SDSL,SERPINA3,SH3TC1,SHBG,SHC1,SLCO2A1,SPOCK2,SPON2,SPP1,SSTR2,TBX21,TDO2,THBS1,TNFAIP2,TNS1,VSTM2L,ZNF165,ZNF750",144 (22)
SB203580, ,chemical - kinase inhibitor,Inhibited,-2.223,1.39E-09,"ADAMTS4,AMOTL2,APOBEC3B,BST2,CD200,CDKN1A,CYP1A1,EDNRB,FOSB,GLIPR1,HAS3,IFIT1,IFIT2,MAP2K6,NOS2,PDGFB,PLAAT4,PLAUR,PPARGC1A,PTGDS,PTGES,PTHLH,SPP1,THBS1,VGLL3,XYLT1",130 (22)
forskolin, ,chemical toxicant, ,0.865,4.93E-09,"ACP5,ADAMTS4,ADGRA1,ALDH3A1,CD200,CD8A,CDKN1A,CRISPLD2,CTSV,ERFE,FOSB,GADD45G,H19,HAS3,IGF2,KRT18,NOS2,NPAS4,NT5E,OXTR,PLK2,PPARGC1A,PTGES,PTHLH,SHC1,SLC24A5,SPP1,SSTR2,SYNPO,THBS1,TUBA4A,ZNF331",136 (21)
STAT3,0.032,transcription regulator, ,-0.344,1.58E-08,"BST2,C5AR1,CDH5,CDKN1A,CHI3L1,DLL1,EPAS1,GADD45G,GLIPR1,HES5,IFI30,IFIT1,IFIT2,LIF,NOS2,NRP1,OAS1,OAS3,PDGFB,PLAUR,PPARGC1A,RPE65,SERPINA3,SYNPO,TBX21,THBS1,TNFRSF1B,TNS1",113 (19)
IL1B, ,cytokine,Activated,2.37,2.76E-08,"ABCC3,ADAMTS4,BCYRN1,CDKN1A,CHI3L1,CYP1A1,DCN,ELN,EPAS1,FOSB,GDF15,GHR,H19,ICOSLG/LOC102723996,IFIT1,IRAK2,LIF,LY96,MAP2K6,MYLK3,NOS2,NRP1,OXTR,PDGFB,PPARGC1A,PTGDS,PTGES,PTHLH,SERPINA3,SPP1,SSTR2,TBX21,THBS1,TNFAIP2,TNFRSF1B,XYLT1",131 (21)
KLF2,0.136,transcription regulator, ,0.703,2.95E-08,"CAV1,CDKN1A,DLL1,ELN,EPAS1,FBLN1,ICOSLG/LOC102723996,IGF2,ITGB4,PTGDS,PTHLH,SLCO2A1,TBX21,THBS1,VWF",103 (16)
